region_name,wave,n_days,mean,std,median,peak,integrated_bed_days
London,Alpha + early vaccination,304,298.61,355.57,136.5,1220.0,90778.0
London,Delta,183,155.45,59.16,175.0,237.0,28448.0
London,Omicron and beyond,274,114.02,53.15,93.5,245.0,31242.0
South West,Alpha + early vaccination,304,47.22,59.35,21.0,219.0,14356.0
South West,Delta,183,44.2,23.25,52.0,76.0,8089.0
South West,Omicron and beyond,274,19.92,16.83,14.0,66.0,5457.0
South East,Alpha + early vaccination,304,115.24,154.01,29.5,532.0,35032.0
South East,Delta,183,51.26,27.66,55.0,97.0,9380.0
South East,Omicron and beyond,274,35.93,26.21,29.0,108.0,9845.0
Midlands,Alpha + early vaccination,304,197.75,191.53,135.0,673.0,60115.0
Midlands,Delta,183,125.85,53.86,147.0,185.0,23030.0
Midlands,Omicron and beyond,274,51.74,41.95,35.0,165.0,14177.0
East of England,Alpha + early vaccination,304,87.62,106.31,49.0,381.0,26637.0
East of England,Delta,183,55.19,28.63,60.0,105.0,10100.0
East of England,Omicron and beyond,274,35.58,22.93,28.0,101.0,9749.0
North West,Alpha + early vaccination,304,141.45,116.22,132.0,417.0,43002.0
North West,Delta,183,102.25,22.01,107.0,137.0,18712.0
North West,Omicron and beyond,274,39.62,28.0,30.0,108.0,10857.0
North East and Yorkshire,Alpha + early vaccination,304,124.52,101.4,108.0,340.0,37854.0
North East and Yorkshire,Delta,183,109.95,46.65,129.0,176.0,20121.0
North East and Yorkshire,Omicron and beyond,274,42.88,28.72,34.0,125.0,11749.0
