Model,RMSE h=7,RMSE h=14,RMSE h=21,RMSE h=28,MAE h=14,Under (%) h=28
Seasonal-naive(7),13.53,18.16,22.31,25.98,14.51,37.5
ARIMA,11.33,17.80,23.41,28.02,13.95,44.2
XGBoost (lag features),12.45,22.90,36.42,58.88,16.85,27.7
GRU per region,14.13,22.92,33.35,43.97,17.50,7.6
PinnGRU (proposed),11.02,14.46,24.19,34.63,12.05,10.3
w/o decision-aware loss (MSE),14.79,18.70,27.09,41.47,15.96,6.7
w/o PINN pre-training,12.26,17.27,22.56,34.73,14.60,22.8
w/o PINN parameter features,23.97,27.25,32.94,44.59,24.67,8.5
w/o level anchor,10.23,16.60,26.24,40.51,13.31,19.6
w/o trend anchor,11.04,16.75,25.38,35.71,13.59,23.7
