model_key,Model,horizon,n_origins,rmse,rmse_ci_low,rmse_ci_high,mae,mae_ci_low,mae_ci_high,underestimation_rate,under_ci_low,under_ci_high
seasonal_naive,Seasonal-naive(7),7,32,13.525751007872287,11.263664916202922,15.527155043132295,10.558035714285714,8.696316964285714,12.517857142857142,0.3705357142857143,0.25,0.4955357142857143
seasonal_naive,Seasonal-naive(7),14,32,18.15505492153008,14.658466184065338,21.294076583029774,14.513392857142858,11.865625,17.46004464285714,0.3705357142857143,0.23660714285714285,0.5
seasonal_naive,Seasonal-naive(7),21,32,22.30669972310444,17.635204813966933,26.553821142871907,17.803571428571427,14.236495535714285,21.68872767857142,0.36607142857142855,0.23214285714285715,0.5044642857142857
seasonal_naive,Seasonal-naive(7),28,32,25.975914019621875,20.227959963267875,30.97292115696286,20.65625,16.30345982142857,25.210379464285708,0.375,0.23660714285714285,0.5133928571428571
arima_per_region,ARIMA,7,32,11.328360746074493,9.744855255293919,12.866314720403269,8.853036373674197,7.737394979720758,10.165004441160121,0.46875,0.39285714285714285,0.5401785714285714
arima_per_region,ARIMA,14,32,17.800120150037426,14.942288091137987,20.482078820769868,13.952952366710049,11.712695764269359,16.54400354656656,0.45089285714285715,0.36607142857142855,0.53125
arima_per_region,ARIMA,21,32,23.412547408336984,19.24332368560378,27.348777590338095,18.112396669372803,15.092754596434768,21.496585226313286,0.44642857142857145,0.34375,0.5491071428571429
arima_per_region,ARIMA,28,32,28.022740562398873,22.5860533395901,33.38907855980242,21.80660935306278,17.928315091814365,26.226144004305816,0.4419642857142857,0.33035714285714285,0.5491071428571429
xgboost_per_region,XGBoost (lag features),7,32,12.449440087495743,10.189192257047344,14.435944561046112,9.498675691229957,8.123009184056095,11.086594017275742,0.3705357142857143,0.28560267857142857,0.45982142857142855
xgboost_per_region,XGBoost (lag features),14,32,22.90241703613378,18.467632866867735,26.526047217793845,16.84990715129035,13.88395601223622,20.020989410525985,0.33035714285714285,0.23660714285714285,0.42410714285714285
xgboost_per_region,XGBoost (lag features),21,32,36.42432990371781,26.777754845304504,45.99075859909038,25.900461703538895,20.703327462928634,32.33663111568562,0.2767857142857143,0.17410714285714285,0.3795758928571422
xgboost_per_region,XGBoost (lag features),28,32,58.875095492414175,36.01873384489012,79.89214760908706,36.05184755155018,27.17605086453259,48.60962344961507,0.2767857142857143,0.18303571428571427,0.3705357142857143
gru_per_region,GRU per region,7,32,14.130177838916925,11.532766219627337,17.13922406603487,11.024678285955929,9.443293590225375,13.07129386309188,0.3794642857142857,0.3080357142857143,0.44642857142857145
gru_per_region,GRU per region,14,32,22.923193132305357,17.367320156746633,28.124440202293705,17.497522294281293,14.148626247383287,21.53880945294492,0.22767857142857142,0.15625,0.30357142857142855
gru_per_region,GRU per region,21,32,33.34754439425847,26.2048863945451,40.52993685624594,26.09477366742223,21.14671024124474,31.806365016599422,0.13839285714285715,0.07142857142857142,0.20982142857142858
gru_per_region,GRU per region,28,32,43.97440947673008,36.49202979318364,51.229117135177916,36.868269027868564,30.72756422971183,43.609774703245144,0.07589285714285714,0.03125,0.125
pinn_gru,PinnGRU (proposed),7,32,11.023719170253619,9.642316321911858,12.443238711607794,9.042011419442789,8.081936519117422,10.159399636271441,0.3125,0.23660714285714285,0.38839285714285715
pinn_gru,PinnGRU (proposed),14,32,14.456359791093027,12.750648557647063,16.117570560957994,12.049331005760612,10.599747097980735,13.699482126885627,0.22767857142857142,0.15178571428571427,0.30357142857142855
pinn_gru,PinnGRU (proposed),21,32,24.185747817684092,20.495094790412946,28.347521835871145,20.226600460851824,17.488346668673422,23.479565407663376,0.14285714285714285,0.08928571428571429,0.20089285714285715
pinn_gru,PinnGRU (proposed),28,32,34.63463189399182,28.38063202702422,40.80084887201074,28.72734038656474,24.129870289132782,33.916798632324195,0.10267857142857142,0.049107142857142856,0.15625
pinn_gru__no_decision_aware,w/o decision-aware loss (MSE),7,32,14.793018468062426,13.611629331952958,15.868220424380555,12.614301104512577,11.730617179722094,13.521738590288761,0.44642857142857145,0.38839285714285715,0.5089285714285714
pinn_gru__no_decision_aware,w/o decision-aware loss (MSE),14,32,18.699398960223725,16.6017457992653,20.66834917047219,15.959494025304481,14.081363491866497,18.04178727341151,0.19196428571428573,0.11595982142857143,0.27232142857142855
pinn_gru__no_decision_aware,w/o decision-aware loss (MSE),21,32,27.094016897575063,23.182291145370588,31.06382872524567,22.69928912016192,19.202058795846085,26.547284368325546,0.12053571428571429,0.06696428571428571,0.17857142857142858
pinn_gru__no_decision_aware,w/o decision-aware loss (MSE),28,32,41.47039937404372,35.48347399578866,47.12561216990187,35.91551517164178,30.7312490849837,41.69400721577587,0.06696428571428571,0.026785714285714284,0.11160714285714286
pinn_gru__no_pretrain,w/o PINN pre-training,7,32,12.257798865009875,11.09107440169548,13.358620973427946,10.181166349059257,9.31968664780915,11.118723465337137,0.32142857142857145,0.24553571428571427,0.39732142857142855
pinn_gru__no_pretrain,w/o PINN pre-training,14,32,17.2673261341514,15.40461513635346,19.071800644497532,14.604045115228741,13.10687186199944,16.246270559385103,0.2857142857142857,0.21875,0.3482142857142857
pinn_gru__no_pretrain,w/o PINN pre-training,21,32,22.556357991530767,18.62279066674539,26.94146303452898,18.140393260556458,15.25632710172765,21.544040667499157,0.23214285714285715,0.16071428571428573,0.30357142857142855
pinn_gru__no_pretrain,w/o PINN pre-training,28,32,34.73035795042781,26.85617352429571,42.03427889646445,27.706295102811485,23.041503035691704,33.27967022692745,0.22767857142857142,0.15625,0.30357142857142855
pinn_gru__no_params,w/o PINN parameter features,7,32,23.970923439573845,22.74460970892313,25.116225431192305,22.12530147920521,20.836150955810265,23.379425325044465,0.17857142857142858,0.125,0.23214285714285715
pinn_gru__no_params,w/o PINN parameter features,14,32,27.248237583378415,25.31820316943396,29.040857694335603,24.67282733529959,22.97889861170412,26.384383519087468,0.13839285714285715,0.08928571428571429,0.18314732142857082
pinn_gru__no_params,w/o PINN parameter features,21,32,32.94309045021954,28.12050280233157,37.85698624145187,27.8964335092468,24.937691196160912,31.552495482465506,0.14732142857142858,0.08928571428571429,0.20982142857142858
pinn_gru__no_params,w/o PINN parameter features,28,32,44.589515701865324,35.882978589772414,52.31623376755625,36.45832266941599,31.227791582198726,42.76158269914655,0.08482142857142858,0.03571428571428571,0.13392857142857142
pinn_gru__no_level,w/o level anchor,7,32,10.228073405431902,8.899096426437955,11.638001562820262,8.26340959736532,7.364511044430663,9.375195621840401,0.32589285714285715,0.25,0.4017857142857143
pinn_gru__no_level,w/o level anchor,14,32,16.59970718824787,13.91595464739019,19.30822540428235,13.312876770038597,11.428168229239006,15.495143069512295,0.29017857142857145,0.23214285714285715,0.3482142857142857
pinn_gru__no_level,w/o level anchor,21,32,26.23661286075847,19.87410820971427,32.04283780500056,19.806909828934646,16.2151674771348,24.11519108066765,0.20982142857142858,0.13839285714285715,0.2857142857142857
pinn_gru__no_level,w/o level anchor,28,32,40.50952089205258,29.54109996691071,49.94808539689051,29.89768068615418,23.837270624118556,37.126634244132255,0.19642857142857142,0.12946428571428573,0.26339285714285715
pinn_gru__no_trend,w/o trend anchor,7,32,11.038250804935819,9.363386791782727,12.786088726061246,8.752898837608814,7.686132761215375,10.080514409530554,0.41517857142857145,0.34375,0.48214285714285715
pinn_gru__no_trend,w/o trend anchor,14,32,16.751653096709745,13.962033112387594,19.51001918170134,13.58942485685555,11.820915830472718,15.751571998779843,0.30357142857142855,0.23214285714285715,0.3705357142857143
pinn_gru__no_trend,w/o trend anchor,21,32,25.381582522314073,20.407413895883415,29.96874554503795,20.39938978725485,17.574370732697822,23.866785069720798,0.25,0.17410714285714285,0.32589285714285715
pinn_gru__no_trend,w/o trend anchor,28,32,35.711346070350935,27.60417951602843,42.63602667977601,28.24748484166653,23.606727100077173,33.85864011970365,0.23660714285714285,0.15178571428571427,0.32589285714285715
